Time,Category,Message,
5/18/2026 8:54:59 AM,Connection,Using HDS (hds-us-nt-011.ninjatrader.com/31655),
5/18/2026 8:54:59 AM,Connection,Time to auto close position='12:00:00 AM' Enabled=False,
5/18/2026 8:54:59 AM,NinjaScript,Replikanto: Leader account was set at the tab '02E82F80' workspace 'Main'. Old:  new: SimAccount1,
5/18/2026 8:54:59 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Connected Price feed=Connected,
5/18/2026 8:54:42 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Connecting Price feed=Connecting,
5/18/2026 8:54:10 AM,NinjaScript,Replikanto: Version (1.6.1.6) active on machine id 3770CC1B17C4F993B8CA62115C8EE1E6-EricIrwin and NinjaTrader version (8.1.6.3),
5/18/2026 8:54:10 AM,NinjaScript,Replikanto: Windows opened: 1,
5/18/2026 8:54:09 AM,NinjaScript,Replikanto: Leader copy method was changed at the tab '02E82F80' workspace ''. Old: ExactQuantity new: Ratio,
5/18/2026 8:54:09 AM,NinjaScript,Replikanto: Disarm followers is set from tab '02E82F80' workspace '',
5/18/2026 8:54:09 AM,NinjaScript,Replikanto: Restoring leader account 'SimAccount1' from tab '02E82F80',
5/18/2026 8:54:09 AM,NinjaScript,Replikanto: Leader instrument was set at the tab '02E82F80' workspace ''. Old:  new: NQ 06-26,
5/18/2026 8:54:09 AM,NinjaScript,Replikanto: Restoring leader instrument 'NQ 06-26' from tab '02E82F80',
5/18/2026 8:54:08 AM,NinjaScript,Replikanto: Restoring Replikanto tab from '033186CB' to '02E82F80'...,
5/18/2026 8:54:08 AM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
5/18/2026 8:54:08 AM,NinjaScript,Replikanto: Creating Replikanto tab '033186CB'...,
5/18/2026 8:54:08 AM,NinjaScript,Replikanto: Cleaning up Replikanto tab '02A016B9'...,
5/18/2026 8:53:59 AM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
5/18/2026 8:53:58 AM,NinjaScript,Replikanto: Creating Replikanto tab '02A016B9'...,
5/18/2026 8:53:30 AM,Default,Restoring workspace 'Main'...,
5/18/2026 8:53:29 AM,NinjaScript,Replikanto: Api Key "...m3POL",
5/18/2026 8:53:29 AM,Default,Auto close enabled=False,
5/18/2026 8:53:29 AM,Order,Order entry hot keys disabled,
5/18/2026 8:53:29 AM,Default,Automated trading disabled,
5/18/2026 8:53:29 AM,Connection,Using IS (is-us-nt-006.ninjatrader.com/31658),
5/18/2026 8:53:28 AM,Default,Vendor assembly 'Replikanto' version='1.6.1.6' loaded.,
5/18/2026 8:53:27 AM,Default,Vendor assembly 'AverageBarSize' version='1.0.0.1' loaded.,
5/18/2026 8:53:27 AM,Default,Vendor assembly 'Hermes' version='1.0.0.5' loaded.,
5/18/2026 8:53:27 AM,Default,Vendor assembly 'NinZaRenko_v5.1_NT8' version='1.0.0.1' loaded.,
5/18/2026 8:53:27 AM,Default,Global simulation mode disabled,
5/18/2026 8:53:16 AM,Default,Session Break (Version 8.1.6.3),
5/18/2026 8:52:48 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Disconnected Price feed=Disconnected,
5/18/2026 8:52:48 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Disconnecting Price feed=Disconnecting,
5/18/2026 8:52:47 AM,NinjaScript,Replikanto: Cleaning up Replikanto tab '02E82F80'...,
5/18/2026 8:52:47 AM,Default,Workspace Main not saved,
5/18/2026 8:51:17 AM,Connection,Using HDS (hds-us-nt-016.ninjatrader.com/31655),
5/18/2026 8:51:17 AM,Connection,Time to auto close position='12:00:00 AM' Enabled=False,
5/18/2026 8:51:17 AM,NinjaScript,Replikanto: Leader account was set at the tab '02E82F80' workspace 'Main'. Old:  new: SimAccount1,
5/18/2026 8:51:16 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Connected Price feed=Connected,
5/18/2026 8:51:01 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Connecting Price feed=Connecting,
5/18/2026 8:49:59 AM,NinjaScript,Replikanto: Version (1.6.1.6) active on machine id 3770CC1B17C4F993B8CA62115C8EE1E6-EricIrwin and NinjaTrader version (8.1.6.3),
5/18/2026 8:49:59 AM,NinjaScript,Replikanto: Windows opened: 1,
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Leader copy method was changed at the tab '02E82F80' workspace ''. Old: ExactQuantity new: Ratio,
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Disarm followers is set from tab '02E82F80' workspace '',
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Restoring leader account 'SimAccount1' from tab '02E82F80',
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Leader instrument was set at the tab '02E82F80' workspace ''. Old:  new: NQ 06-26,
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Restoring leader instrument 'NQ 06-26' from tab '02E82F80',
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Restoring Replikanto tab from '033186CB' to '02E82F80'...,
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
5/18/2026 8:49:58 AM,NinjaScript,Replikanto: Creating Replikanto tab '033186CB'...,
5/18/2026 8:49:57 AM,NinjaScript,Replikanto: Cleaning up Replikanto tab '02A016B9'...,
5/18/2026 8:49:50 AM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
5/18/2026 8:49:50 AM,NinjaScript,Replikanto: Creating Replikanto tab '02A016B9'...,
5/18/2026 8:49:24 AM,Default,Restoring workspace 'Main'...,
5/18/2026 8:49:23 AM,NinjaScript,Replikanto: Api Key "...m3POL",
5/18/2026 8:49:22 AM,Default,Auto close enabled=False,
5/18/2026 8:49:22 AM,Order,Order entry hot keys disabled,
5/18/2026 8:49:22 AM,Default,Automated trading disabled,
5/18/2026 8:49:22 AM,Connection,Using IS (is-us-nt-005.ninjatrader.com/31658),
5/18/2026 8:49:22 AM,Default,Vendor assembly 'Replikanto' version='1.6.1.6' loaded.,
5/18/2026 8:49:21 AM,Default,Vendor assembly 'NinZaRenko_v5.1_NT8' version='1.0.0.1' loaded.,
5/18/2026 8:49:21 AM,Default,Vendor assembly 'AverageBarSize' version='1.0.0.1' loaded.,
5/18/2026 8:49:21 AM,Default,Vendor assembly 'Hermes' version='1.0.0.5' loaded.,
5/18/2026 8:49:21 AM,Default,Vendor assembly 'NinjaTraderOptimizerProject' version='0.1.0.0' loaded.,
5/18/2026 8:49:21 AM,Default,Global simulation mode disabled,
5/18/2026 8:49:09 AM,Default,Session Break (Version 8.1.6.3),
5/18/2026 8:47:18 AM,Default,Workspace Main not saved,
5/18/2026 8:47:14 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Disconnected Price feed=Disconnected,
5/18/2026 8:47:14 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Disconnecting Price feed=Disconnecting,
5/18/2026 8:45:39 AM,Order,Order='2755743401/PA-APEX-41998-52' Name='Stop1' New state='Cancelled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='b6009b27c05646e683baadcd571f9296' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Strategy,Cancelling any remaining strategy orders,
5/18/2026 8:45:39 AM,Order,Order='2755747513/PA-APEX-41998-52' Name='Stop1' New state='Cancelled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='8ed23c3c9f9a491fb18122ac89000d02' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Order,Order='2755743401/PA-APEX-41998-52' Name='Stop1' New state='Cancel submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='b6009b27c05646e683baadcd571f9296' Filled=0 Fill price=0 Error='No error' Native error='',
