Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,25726.25,25731.50,4/14/2026 7:42:00 AM,4/14/2026 7:43:00 AM,OrbShort,Stop loss,($105.00),($105.00),$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$390.00,$495.00,2,
2,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,26041.00,26003.25,4/15/2026 7:44:00 AM,4/15/2026 7:45:00 AM,OrbShort,Profit target,$755.00,$650.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$755.00,$0.00,2,
3,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,26377.50,26372.25,4/16/2026 7:39:00 AM,4/16/2026 7:40:00 AM,OrbLong,Stop loss,($105.00),$545.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$625.00,$730.00,2,
4,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,26721.25,26726.50,4/17/2026 8:00:00 AM,4/17/2026 8:00:00 AM,OrbShort,Stop loss,($105.00),$440.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
5,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,26748.75,26743.50,4/20/2026 7:42:00 AM,4/20/2026 7:42:00 AM,OrbLong,Stop loss,($105.00),$335.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
6,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,26753.50,26747.50,4/21/2026 7:37:00 AM,4/21/2026 7:37:00 AM,OrbLong,Stop loss,($120.00),$215.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.00,$0.00,$120.00,1,
7,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,26819.25,26824.50,4/21/2026 8:00:00 AM,4/21/2026 8:00:00 AM,OrbShort,Stop loss,($105.00),$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
8,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,26829.50,26867.25,4/22/2026 7:53:00 AM,4/22/2026 8:01:00 AM,OrbLong,Profit target,$755.00,$865.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$755.00,$0.00,9,
9,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,26890.25,26852.50,4/22/2026 8:04:00 AM,4/22/2026 8:07:00 AM,OrbShort,Profit target,$755.00,$1620.00,$0.00,$0.00,$0.00,$0.00,$0.00,$65.00,$755.00,$0.00,4,
10,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,27012.00,27021.75,4/23/2026 7:37:00 AM,4/23/2026 7:37:00 AM,OrbShort,Stop loss,($195.00),$1425.00,$0.00,$0.00,$0.00,$0.00,$0.00,$195.00,$0.00,$195.00,1,
11,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,27225.00,27230.25,4/24/2026 7:46:00 AM,4/24/2026 7:46:00 AM,OrbShort,Stop loss,($105.00),$1320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
12,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,27167.50,27205.25,4/24/2026 8:01:00 AM,4/24/2026 8:02:00 AM,OrbLong,Profit target,$755.00,$2075.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,$755.00,$0.00,2,
13,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,27370.75,27365.50,4/27/2026 7:37:00 AM,4/27/2026 7:37:00 AM,OrbLong,Stop loss,($105.00),$1970.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
14,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,27172.00,27177.25,4/28/2026 7:39:00 AM,4/28/2026 7:39:00 AM,OrbShort,Stop loss,($105.00),$1865.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
15,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,27065.75,27060.50,4/28/2026 8:41:00 AM,4/28/2026 8:41:00 AM,OrbLong,Stop loss,($105.00),$1760.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
16,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,27147.00,27141.75,4/29/2026 7:37:00 AM,4/29/2026 7:37:00 AM,OrbLong,Stop loss,($105.00),$1655.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
17,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,27199.00,27216.75,4/29/2026 7:52:00 AM,4/29/2026 7:52:00 AM,OrbShort,Stop loss,($355.00),$1300.00,$0.00,$0.00,$0.00,$0.00,$0.00,$355.00,$0.00,$355.00,1,
18,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,27352.75,27347.50,4/30/2026 7:47:00 AM,4/30/2026 7:47:00 AM,OrbLong,Stop loss,($105.00),$1195.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
19,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,27826.75,27821.50,5/4/2026 7:37:00 AM,5/4/2026 7:37:00 AM,OrbLong,Stop loss,($105.00),$1090.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
20,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,27854.75,27871.75,5/4/2026 7:43:00 AM,5/4/2026 7:43:00 AM,OrbShort,Stop loss,($340.00),$750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$340.00,$0.00,$340.00,1,
21,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,28425.00,28430.25,5/6/2026 7:39:00 AM,5/6/2026 7:40:00 AM,OrbShort,Stop loss,($105.00),$645.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$590.00,$695.00,2,
22,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,28761.50,28766.75,5/7/2026 7:37:00 AM,5/7/2026 7:39:00 AM,OrbShort,Stop loss,($105.00),$540.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$385.00,$490.00,3,
23,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,28719.50,28714.25,5/7/2026 7:48:00 AM,5/7/2026 7:48:00 AM,OrbLong,Stop loss,($105.00),$435.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
24,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,28958.75,28964.00,5/8/2026 7:42:00 AM,5/8/2026 7:42:00 AM,OrbShort,Stop loss,($105.00),$330.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
25,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,29295.50,29286.25,5/11/2026 8:31:00 AM,5/11/2026 8:31:00 AM,OrbLong,Stop loss,($185.00),$145.00,$0.00,$0.00,$0.00,$0.00,$0.00,$185.00,$0.00,$185.00,1,
26,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,29175.75,29152.75,5/12/2026 7:37:00 AM,5/12/2026 7:37:00 AM,OrbLong,Stop loss,($460.00),($315.00),$0.00,$0.00,$0.00,$0.00,$0.00,$460.00,$0.00,$460.00,1,
27,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,29213.75,29226.50,5/12/2026 7:41:00 AM,5/12/2026 7:41:00 AM,OrbShort,Stop loss,($255.00),($570.00),$0.00,$0.00,$0.00,$0.00,$0.00,$255.00,$0.00,$255.00,1,
28,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Long,1,29216.00,29210.75,5/13/2026 7:45:00 AM,5/13/2026 7:45:00 AM,OrbLong,Stop loss,($105.00),($675.00),$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
29,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,29288.75,29294.00,5/13/2026 8:54:00 AM,5/13/2026 8:54:00 AM,OrbShort,Stop loss,($105.00),($780.00),$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
30,NQ 06-26,Backtest,OrbFailureReclaimCandidate,Short,1,29563.00,29568.25,5/14/2026 8:01:00 AM,5/14/2026 8:01:00 AM,OrbShort,Stop loss,($105.00),($885.00),$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,$105.00,1,
