Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Playback101,PantheonMaster,Short,1,27911.00,27936.50,5/4/2026 12:11:02 AM,5/4/2026 1:15:47 AM,PantheonShort,Buy to cover,($510.00),($510.00),$0.00,$0.00,$0.00,$0.00,$0.00,$550.00,$775.00,$1285.00,65,
2,NQ 06-26,Playback101,PantheonMaster,Short,1,28323.00,28348.00,5/6/2026 12:52:01 AM,5/6/2026 1:05:35 AM,PantheonShort,Buy to cover,($500.00),($1010.00),$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$65.00,$565.00,14,
3,NQ 06-26,Playback101,PantheonMaster,Short,1,29307.75,29331.75,5/11/2026 12:46:01 AM,5/11/2026 3:22:37 AM,PantheonShort,Buy to cover,($480.00),($1490.00),$0.00,$0.00,$0.00,$0.00,$0.00,$495.00,$890.00,$1370.00,157,
4,NQ 06-26,Playback101,PantheonMaster,Long,1,29606.25,29628.75,5/14/2026 12:00:01 AM,5/14/2026 12:05:31 AM,PantheonLong,Profit target,$450.00,($1040.00),$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,$470.00,$20.00,6,
5,NQ 06-26,Playback101,PantheonMaster,Long,1,29452.75,29437.00,5/15/2026 1:29:01 AM,5/15/2026 1:33:39 AM,PantheonLong,Stop loss,($315.00),($1355.00),$0.00,$0.00,$0.00,$0.00,$0.00,$315.00,$130.00,$445.00,5,
6,NQ 06-26,Playback101,PantheonMaster,Long,1,29122.75,29107.50,5/18/2026 1:07:01 AM,5/18/2026 1:08:21 AM,PantheonLong,Stop loss,($305.00),($1660.00),$0.00,$0.00,$0.00,$0.00,$0.00,$305.00,$125.00,$430.00,2,
7,NQ 06-26,Playback101,PantheonMaster,Short,1,29369.00,29270.75,5/21/2026 12:13:01 AM,5/21/2026 1:02:55 AM,PantheonShort,Buy to cover,$1965.00,$305.00,$0.00,$0.00,$0.00,$0.00,$0.00,$400.00,$1995.00,$30.00,50,
8,NQ 06-26,Playback101,PantheonMaster,Short,1,29558.75,29584.00,5/22/2026 12:14:02 AM,5/22/2026 12:35:52 AM,PantheonShort,Buy to cover,($505.00),($200.00),$0.00,$0.00,$0.00,$0.00,$0.00,$505.00,$250.00,$755.00,22,
9,NQ 06-26,Playback101,PantheonMaster,Long,1,29828.50,29812.75,5/26/2026 12:21:04 AM,5/26/2026 12:28:53 AM,PantheonLong,Stop loss,($315.00),($515.00),$0.00,$0.00,$0.00,$0.00,$0.00,$370.00,$335.00,$650.00,8,
10,NQ 06-26,Playback101,PantheonMaster,Short,1,29775.25,29785.00,5/26/2026 1:20:00 AM,5/26/2026 1:23:36 AM,PantheonShort,Buy to cover,($195.00),($710.00),$0.00,$0.00,$0.00,$0.00,$0.00,$235.00,$250.00,$445.00,4,
11,NQ 06-26,Playback101,PantheonMaster,Long,1,30125.25,30147.75,5/27/2026 1:29:01 AM,5/27/2026 2:01:43 AM,PantheonLong,Profit target,$450.00,($260.00),$0.00,$0.00,$0.00,$0.00,$0.00,$255.00,$475.00,$25.00,33,
12,NQ 06-26,Playback101,PantheonMaster,Long,1,29919.00,29903.25,5/28/2026 12:01:01 AM,5/28/2026 12:03:39 AM,PantheonLong,Stop loss,($315.00),($575.00),$0.00,$0.00,$0.00,$0.00,$0.00,$315.00,$60.00,$375.00,3,
13,NQ 06-26,Playback101,PantheonMaster,Short,1,30525.50,30426.00,6/1/2026 1:28:01 AM,6/1/2026 6:13:37 AM,PantheonShort,Buy to cover,$1990.00,$1415.00,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$2010.00,$20.00,286,
