Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
4/30/2026,1,($300.00),($300.00),$0.00,($300.00),$0.00,($300.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),2.00,$300.00,$90.00,$390.00,7.14%,
5/4/2026,1,$150.00,$450.00,$450.00,$0.00,$0.00,$0.00,$0.00,100.00%,$450.00,$450.00,$0.00,$450.00,$0.00,28.00,$290.00,$450.00,$0.00,7.14%,
5/6/2026,1,($150.00),($300.00),$0.00,($300.00),$0.00,($300.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),12.00,$300.00,$80.00,$380.00,7.14%,
5/11/2026,1,($450.00),($300.00),$0.00,($300.00),$0.00,($600.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),11.00,$300.00,$170.00,$470.00,7.14%,
5/14/2026,1,$0.00,$450.00,$450.00,$0.00,$0.00,($150.00),$0.00,100.00%,$450.00,$450.00,$0.00,$450.00,$0.00,5.00,$20.00,$450.00,$0.00,7.14%,
5/15/2026,1,($300.00),($300.00),$0.00,($300.00),$0.00,($450.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),4.00,$300.00,$120.00,$420.00,7.14%,
5/18/2026,1,($600.00),($300.00),$0.00,($300.00),$0.00,($750.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),1.00,$300.00,$130.00,$430.00,7.14%,
5/21/2026,1,($150.00),$450.00,$450.00,$0.00,$0.00,($300.00),$0.00,100.00%,$450.00,$450.00,$0.00,$450.00,$0.00,3.00,$45.00,$450.00,$0.00,7.14%,
5/22/2026,1,($450.00),($300.00),$0.00,($300.00),$0.00,($600.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),21.00,$300.00,$260.00,$560.00,7.14%,
5/26/2026,2,($300.00),$150.00,$450.00,($300.00),$0.00,($900.00),($300.00),50.00%,$75.00,$450.00,($300.00),$450.00,($300.00),7.00,$272.50,$412.50,$337.50,14.29%,
5/27/2026,1,$150.00,$450.00,$450.00,$0.00,$0.00,$0.00,$0.00,100.00%,$450.00,$450.00,$0.00,$450.00,$0.00,32.00,$230.00,$450.00,$0.00,7.14%,
5/28/2026,1,($150.00),($300.00),$0.00,($300.00),$0.00,($300.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),2.00,$300.00,$55.00,$355.00,7.14%,
6/1/2026,1,$300.00,$450.00,$450.00,$0.00,$0.00,$0.00,$0.00,100.00%,$450.00,$450.00,$0.00,$450.00,$0.00,12.00,$125.00,$450.00,$0.00,7.14%,
